No, DescripcionColonia,ClaveDelegacion,DescripcionDelegacion,CodigoPostal
1114,BOSQUES DEL CIMATARIO II,JVH,JOSEFA VERGARA Y HERNANDEZ,
1115,BUROCRATA,JVH,JOSEFA VERGARA Y HERNANDEZ,76070
1116,CAMPESTRE ITALIANA,JVH,JOSEFA VERGARA Y HERNANDEZ,76087
1117,CARREFOUR,JVH,JOSEFA VERGARA Y HERNANDEZ,
1118,CENTRO SUR,JVH,JOSEFA VERGARA Y HERNANDEZ,76090
1119,CLAUSTRO DE LAS MISIONES I,JVH,JOSEFA VERGARA Y HERNANDEZ,76093
1120,CLUB CAMPESTRE,JVH,JOSEFA VERGARA Y HERNANDEZ,76190
1121,COLINAS DEL CIMATARIO,JVH,JOSEFA VERGARA Y HERNANDEZ,76090
1122,COLINAS DEL SUR,JVH,JOSEFA VERGARA Y HERNANDEZ,76903
1123,COMERCIANTES,JVH,JOSEFA VERGARA Y HERNANDEZ,76087
1124,COMUNIDAD SAN ISIDRO MIRANDA,JVH,JOSEFA VERGARA Y HERNANDEZ,
1125,CONDOMINIO LA CAPILLA,JVH,JOSEFA VERGARA Y HERNANDEZ,
1126,CONDOMINIO MONTE BLANCO,JVH,JOSEFA VERGARA Y HERNANDEZ,
1127,CONDOMINIO MONTE BLANCO II,JVH,JOSEFA VERGARA Y HERNANDEZ,
1128,CONDOMINIO MONTE BLANCO III,JVH,JOSEFA VERGARA Y HERNANDEZ,
1129,CONJUNTO TERRANOVA,JVH,JOSEFA VERGARA Y HERNANDEZ,76070
1130,CONSTELACION,JVH,JOSEFA VERGARA Y HERNANDEZ,76087
1131,CORREGIDORA  BUROCRATA,JVH,JOSEFA VERGARA Y HERNANDEZ,76070
1132,CORREGIDORA DE QUERETARO,JVH,JOSEFA VERGARA Y HERNANDEZ,
1133,CRUZ DE FUEGO,JVH,JOSEFA VERGARA Y HERNANDEZ,
1134,CUIDAD DE LAS ARTES,JVH,JOSEFA VERGARA Y HERNANDEZ,
1135,CUITLAHUAC,JVH,JOSEFA VERGARA Y HERNANDEZ,76087
1136,EJIDO CASA BLANCA,JVH,JOSEFA VERGARA Y HERNANDEZ,
1137,EL DURAZNO,JVH,JOSEFA VERGARA Y HERNANDEZ,
1138,EL JACAL,JVH,JOSEFA VERGARA Y HERNANDEZ,76187
1139,EL MARQUES QUERETANO,JVH,JOSEFA VERGARA Y HERNANDEZ,
1140,EL PALOMAR RESIDENCIAL,JVH,JOSEFA VERGARA Y HERNANDEZ,76090
1141,EL RETIRO,JVH,JOSEFA VERGARA Y HERNANDEZ,76070
1142,EX-GOBERNADORES,JVH,JOSEFA VERGARA Y HERNANDEZ,
1143,EX-HACIENDA LA PROVIDENCIA,JVH,JOSEFA VERGARA Y HERNANDEZ,
1144,FIDEL VELAZQUEZ SANCHEZ,JVH,JOSEFA VERGARA Y HERNANDEZ,76197
1145,FRACCIONAMIENTO CENTRO SUR                        ,JVH,JOSEFA VERGARA Y HERNANDEZ,
1146,FRACCIONAMIENTO CUESTA BONITA                     ,JVH,JOSEFA VERGARA Y HERNANDEZ,
1147,FRACCIONAMIENTO MONTE REAL,JVH,JOSEFA VERGARA Y HERNANDEZ,
1148,FRACCIONAMIENTO PARQUE COMERCIAL PAPANOA,JVH,JOSEFA VERGARA Y HERNANDEZ,
1149,FRACCIONAMIENTO PEDREGAL DE VISTA HERMOSA,JVH,JOSEFA VERGARA Y HERNANDEZ,
1150,FRATERNIDAD DE SANTIAGO,JVH,JOSEFA VERGARA Y HERNANDEZ,76085
1151,FUENTES DEL CIMATARIO,JVH,JOSEFA VERGARA Y HERNANDEZ,76030
1152,HUERTAS DEL CIMATARIO,JVH,JOSEFA VERGARA Y HERNANDEZ,76080
1153,JARDINES DE LA HACIENDA,JVH,JOSEFA VERGARA Y HERNANDEZ,76180
1154,JARDINES DEL CIMATARIO,JVH,JOSEFA VERGARA Y HERNANDEZ,76087
1155,LA ALHAMBRA,JVH,JOSEFA VERGARA Y HERNANDEZ,76074
1156,LA GRANJA,JVH,JOSEFA VERGARA Y HERNANDEZ,76180
1157,LA JOYA,JVH,JOSEFA VERGARA Y HERNANDEZ,76180
1158,LA ROMITA,JVH,JOSEFA VERGARA Y HERNANDEZ,76080
1159,LA UNION,JVH,JOSEFA VERGARA Y HERNANDEZ,76085
1160,LAS AGUILAS,JVH,JOSEFA VERGARA Y HERNANDEZ,76085
1161,LAS PLAZAS,JVH,JOSEFA VERGARA Y HERNANDEZ,76180
1162,LAS TORRES,JVH,JOSEFA VERGARA Y HERNANDEZ,76186
1163,LAZARO CARDENAS,JVH,JOSEFA VERGARA Y HERNANDEZ,76087
1164,LAZARO CARDENAS III,JVH,JOSEFA VERGARA Y HERNANDEZ,76085
1165,LEYES DE REFORMA,JVH,JOSEFA VERGARA Y HERNANDEZ,76118
1166,LINDEROS DEL CIMATARIO,JVH,JOSEFA VERGARA Y HERNANDEZ,76085
1167,LOMA LINDA,JVH,JOSEFA VERGARA Y HERNANDEZ,76070
1168,LOMAS DE CASA BLANCA,JVH,JOSEFA VERGARA Y HERNANDEZ,76080
1169,LOMAS DE CASA BLANCA 1RA SECC.,JVH,JOSEFA VERGARA Y HERNANDEZ,76085
1170,LOMAS DE CASA BLANCA 2DA SECC.,JVH,JOSEFA VERGARA Y HERNANDEZ,76085
1171,LOMAS DE CASA BLANCA 3RA SECC.,JVH,JOSEFA VERGARA Y HERNANDEZ,76085
1172,LOMAS DE PASTEUR,JVH,JOSEFA VERGARA Y HERNANDEZ,76087
1173,LOMAS DE QUERETARO,JVH,JOSEFA VERGARA Y HERNANDEZ,76190
1174,LOMAS DEL CIMATARIO,JVH,JOSEFA VERGARA Y HERNANDEZ,76085
1175,LOMAS DEL VALLE,JVH,JOSEFA VERGARA Y HERNANDEZ,76085
1176,LOMAS DEL VALLE 2DA. SECC,JVH,JOSEFA VERGARA Y HERNANDEZ,76085
1177,LOS MEZQUITES,JVH,JOSEFA VERGARA Y HERNANDEZ,76912
1178,LOS PILARES,JVH,JOSEFA VERGARA Y HERNANDEZ,76085
1179,MAGISTERIAL,JVH,JOSEFA VERGARA Y HERNANDEZ,76180
1180,MANANTIALES DE CIMARIO,JVH,JOSEFA VERGARA Y HERNANDEZ,76087
1181,MANSIONES DEL VALLE,JVH,JOSEFA VERGARA Y HERNANDEZ,76185
1182,MARIA ESTHER ZUNO DE ECHEVERRIA,JVH,JOSEFA VERGARA Y HERNANDEZ,76080
1183,MARQUES QUERETANO,JVH,JOSEFA VERGARA Y HERNANDEZ,76085
1184,MIRADOR DEL CIMATARIO,JVH,JOSEFA VERGARA Y HERNANDEZ,76085
1185,MISION CIMATARIO,JVH,JOSEFA VERGARA Y HERNANDEZ,
1186,MISION DEL CIMATARIO,JVH,JOSEFA VERGARA Y HERNANDEZ,76085
1187,MISION LA JOYA I                                  ,JVH,JOSEFA VERGARA Y HERNANDEZ,
1188,MISION LA JOYA II                                 ,JVH,JOSEFA VERGARA Y HERNANDEZ,
1189,MISION PUNTA LA JOYA                              ,JVH,JOSEFA VERGARA Y HERNANDEZ,
1190,MONTE BLANCO,JVH,JOSEFA VERGARA Y HERNANDEZ,
1191,MONTE BLANCO III,JVH,JOSEFA VERGARA Y HERNANDEZ,76087
1192,NUEVO HORIZONTE,JVH,JOSEFA VERGARA Y HERNANDEZ,76085
1193,NUEVO TORREON (ALMUDEJAR),JVH,JOSEFA VERGARA Y HERNANDEZ,
1194,ORQUIDEA,JVH,JOSEFA VERGARA Y HERNANDEZ,76180
1195,PARAISO,JVH,JOSEFA VERGARA Y HERNANDEZ,76224
1196,PEDREGAL DE CIMATARIO II,JVH,JOSEFA VERGARA Y HERNANDEZ,
1197,PEDREGAL DEL CIMATARIO,JVH,JOSEFA VERGARA Y HERNANDEZ,76085
1198,PLAZAS DEL SOL,JVH,JOSEFA VERGARA Y HERNANDEZ,76201
1199,PLAZAS DEL SOL 1A. SECCION,JVH,JOSEFA VERGARA Y HERNANDEZ,76099
1200,PLAZAS DEL SOL 2A. SECCION,JVH,JOSEFA VERGARA Y HERNANDEZ,76099
1201,PLAZAS DEL SOL 3A. SECCION,JVH,JOSEFA VERGARA Y HERNANDEZ,76099
1202,POLIGONO 2 DE LA GRANJA EL CRISTO,JVH,JOSEFA VERGARA Y HERNANDEZ,
1203,POLIGONO I DE LA GRANJA EL CRISTO                 ,JVH,JOSEFA VERGARA Y HERNANDEZ,
1204,PRADERAS DEL SOL,JVH,JOSEFA VERGARA Y HERNANDEZ,76087
1205,PRADOS DE MIRANDA,JVH,JOSEFA VERGARA Y HERNANDEZ,
1206,PRADOS DE QUERETARO,JVH,JOSEFA VERGARA Y HERNANDEZ,76085
1207,PRADOS DEL CAMPESTRE,JVH,JOSEFA VERGARA Y HERNANDEZ,76080
1208,PRADOS DEL CIMATARIO,JVH,JOSEFA VERGARA Y HERNANDEZ,76085
1209,PRADOS DEL MIRADOR,JVH,JOSEFA VERGARA Y HERNANDEZ,76070
1210,PRADOS DEL MIRADOR (CUESTA CHINA),JVH,JOSEFA VERGARA Y HERNANDEZ,
1211,PRADOS DEL QUERETARO ,JVH,JOSEFA VERGARA Y HERNANDEZ,
1212,PRESIDENTES,JVH,JOSEFA VERGARA Y HERNANDEZ,76080
1213,QUINTA BALAUSTRADAS,JVH,JOSEFA VERGARA Y HERNANDEZ,76079
1214,RAQUEL TREJO ORTIZ,JVH,JOSEFA VERGARA Y HERNANDEZ,76085
1215,REFORMA AGRARIA,JVH,JOSEFA VERGARA Y HERNANDEZ,76086
1216,REFORMA AGRARIA 1A. SECCION,JVH,JOSEFA VERGARA Y HERNANDEZ,76086
1217,REFORMA AGRARIA 2A. SECCION,JVH,JOSEFA VERGARA Y HERNANDEZ,76086
1218,REFORMA AGRARIA 3A. SECCION,JVH,JOSEFA VERGARA Y HERNANDEZ,76086
1219,REFORMA AGRARIA 4A.SECCION,JVH,JOSEFA VERGARA Y HERNANDEZ,76086
1220,REFORMA AGRARIA 5A. SECCION,JVH,JOSEFA VERGARA Y HERNANDEZ,76086
1221,RESIDENCIAL DEL VALLE,JVH,JOSEFA VERGARA Y HERNANDEZ,76190
1222,RINCON DE SAN ANTONIO,JVH,JOSEFA VERGARA Y HERNANDEZ,76190
1223,RINCON DEL CIMATARIO,JVH,JOSEFA VERGARA Y HERNANDEZ,76085
1224,RINCONADAS DEL SOL,JVH,JOSEFA VERGARA Y HERNANDEZ,76113
1225,ROMA,JVH,JOSEFA VERGARA Y HERNANDEZ,76085
1226,SAN ANDRES,JVH,JOSEFA VERGARA Y HERNANDEZ,76087
1227,SAN ISIDRO MIRANDA,JVH,JOSEFA VERGARA Y HERNANDEZ,
1228,SANTA JUANITA,JVH,JOSEFA VERGARA Y HERNANDEZ,76085
1229,SANTIAGO DE LOS CABALLEROS,JVH,JOSEFA VERGARA Y HERNANDEZ,76070
1230,TIERRA Y LIBERTAD,JVH,JOSEFA VERGARA Y HERNANDEZ,
1231,UNIDAD HABITACIONLA MAGISTERIAL,JVH,JOSEFA VERGARA Y HERNANDEZ,76180
1232,UNIDAD ROMA ,JVH,JOSEFA VERGARA Y HERNANDEZ,
1233,UNIDAD SOCIAL QUERETANA,JVH,JOSEFA VERGARA Y HERNANDEZ,76085
1234,UNION,JVH,JOSEFA VERGARA Y HERNANDEZ,76085
1235,UNION MAGISTERIAL,JVH,JOSEFA VERGARA Y HERNANDEZ,76180
1236,UNIVERSO 2000,JVH,JOSEFA VERGARA Y HERNANDEZ,76085
1237,VENCEREMOS,JVH,JOSEFA VERGARA Y HERNANDEZ,
1238,VILLA  DEL RINCON,JVH,JOSEFA VERGARA Y HERNANDEZ,76087
1239,VILLAS DEL CIMATARIO,JVH,JOSEFA VERGARA Y HERNANDEZ,76085
1240,VISTA ALEGRE,JVH,JOSEFA VERGARA Y HERNANDEZ,76090
1241,VISTA ALEGRE 2A. SECCION,JVH,JOSEFA VERGARA Y HERNANDEZ,76074
1242,VISTA ALEGRE 3A. SECCION,JVH,JOSEFA VERGARA Y HERNANDEZ,76074
1243,VISTA ALEGRE MAXEI,JVH,JOSEFA VERGARA Y HERNANDEZ,76074
1244,VISTA AZUL,JVH,JOSEFA VERGARA Y HERNANDEZ,76087
1245,"VISTA, HABITACIONAL",JVH,JOSEFA VERGARA Y HERNANDEZ,76085
1246,VISTAS DEL CIMATARIO,JVH,JOSEFA VERGARA Y HERNANDEZ,76085
1247,ZAPATA VIVE,JVH,JOSEFA VERGARA Y HERNANDEZ,76087
1248,BELLA VISTA,JVH,JOSEFA VERGARA Y HERNANDEZ,
1249,CLAUSTRO DEL SUR,JVH,JOSEFA VERGARA Y HERNANDEZ,
1250,CLAUSTROS DE SANTIAGO,JVH,JOSEFA VERGARA Y HERNANDEZ,
1251,CONJUNTO HAB LORETO,JVH,JOSEFA VERGARA Y HERNANDEZ,
1252,FRACC. GUADALAJARA,JVH,JOSEFA VERGARA Y HERNANDEZ,
1253,HACIENDA SAN MIGUEL,JVH,JOSEFA VERGARA Y HERNANDEZ,
1254,PRADOS DEL SOL ,JVH,JOSEFA VERGARA Y HERNANDEZ,
1255,RINCONADA DEL SUR,JVH,JOSEFA VERGARA Y HERNANDEZ,
1256,VILLAS MARINA,JVH,JOSEFA VERGARA Y HERNANDEZ,
1257,ACEQUIA BLANCA,SRJ,SANTA ROSA JAUREGUI,76226
1258,AMPLIACION LAS ROSAS,SRJ,SANTA ROSA JAUREGUI,76220
1259,AMPLIACION PARQUE INDUSTRIAL QUERETARO FASE 1,SRJ,SANTA ROSA JAUREGUI,
1260,AMPLIACION PARQUE INDUSTRIAL QUERETARO FASE 2,SRJ,SANTA ROSA JAUREGUI,
1261,AMPLIACION PARQUE INDUSTRIAL QUERETARO FASE 3,SRJ,SANTA ROSA JAUREGUI,
1262,AMPLIACION RANCHO LARGO,SRJ,SANTA ROSA JAUREGUI,76220
1263,ARBOLADAS MONTENEGRO,SRJ,SANTA ROSA JAUREGUI,
1264,ARBOLEDAS - SANTA ROSA JAUREGUI,SRJ,SANTA ROSA JAUREGUI,76220
1265,AZTECA,SRJ,SANTA ROSA JAUREGUI,76230
1266,BALCONES DE JURIQUILLA,SRJ,SANTA ROSA JAUREGUI,76230
1267,BENITO JUAREZ,SRJ,SANTA ROSA JAUREGUI,76089
1268,BIO PRESERVE                                      ,SRJ,SANTA ROSA JAUREGUI,
1269,BUENAVISTA,SRJ,SANTA ROSA JAUREGUI,76225
1270,CAMINO REAL                                       ,SRJ,SANTA ROSA JAUREGUI,
1271,CAMINO REAL SEGUNDA SECCION                       ,SRJ,SANTA ROSA JAUREGUI,
1272,CAMPESTRE LA RICA,SRJ,SANTA ROSA JAUREGUI,
1273,CANADA DE LA MONJA,SRJ,SANTA ROSA JAUREGUI,76217
1274,CASA BLANCA -SANTA ROSA JAUREGUI,SRJ,SANTA ROSA JAUREGUI,76224
1275,CENTRO - SANTA ROSA JAUREGUI,SRJ,SANTA ROSA JAUREGUI,76220
1276,CERRO COLORADO,SRJ,SANTA ROSA JAUREGUI,76224
1277,CERRO DE LA CRUZ - SANTA ROSA JAUREGUI,SRJ,SANTA ROSA JAUREGUI,76221
1278,CHARAPE DE LA JOYA,SRJ,SANTA ROSA JAUREGUI,76221
1279,CHARAPE DE LOS PELONES,SRJ,SANTA ROSA JAUREGUI,76220
1280,COLINAS DE SANTA ROSA,SRJ,SANTA ROSA JAUREGUI,76220
1281,COLINAS DEL BOSQUE,SRJ,SANTA ROSA JAUREGUI,76220
1282,COND PENINSULA(JURIQUILLA) QRO,SRJ,SANTA ROSA JAUREGUI,
1283,CONTINENTAL,SRJ,SANTA ROSA JAUREGUI,76220
1284,COREA                                   ,SRJ,SANTA ROSA JAUREGUI,
1285,CORREGIDORA,SRJ,SANTA ROSA JAUREGUI,76070
1286,CUADRILLA JURIQUILLA,SRJ,SANTA ROSA JAUREGUI,76220
1287,CUMBRES DEL LAGO,SRJ,SANTA ROSA JAUREGUI,76230
1288,EJIDAL BUENAVISTA,SRJ,SANTA ROSA JAUREGUI,76220
1289,EJIDO SANTA ROSA JAUREGUI,SRJ,SANTA ROSA JAUREGUI,76220
1290,EL BARRIAL,SRJ,SANTA ROSA JAUREGUI,76220
1291,EL HERRERO,SRJ,SANTA ROSA JAUREGUI,76228
1292,EL JOFRE,SRJ,SANTA ROSA JAUREGUI,76220
1293,EL JOFRITO,SRJ,SANTA ROSA JAUREGUI,76220
1294,EL MADRONO,SRJ,SANTA ROSA JAUREGUI,
1295,EL MADRONO - PIE DE GALLO,SRJ,SANTA ROSA JAUREGUI,76220
1296,EL PARAISO                                        ,SRJ,SANTA ROSA JAUREGUI,
1297,EL PEDREGAL,SRJ,SANTA ROSA JAUREGUI,76220
1298,EL ZAPOTE (ESTANCIA DE PALO DULCE) (SANTA ROSA JAUREGUI),SRJ,SANTA ROSA JAUREGUI,76236
1299,EMILIANO ZAPATA,SRJ,SANTA ROSA JAUREGUI,76220
1300,ERMITA JURIQUILLA,SRJ,SANTA ROSA JAUREGUI,
1301,ESTANCIA DE LA ROCHERA,SRJ,SANTA ROSA JAUREGUI,
1302,ESTANCIA DE PALO DULCE,SRJ,SANTA ROSA JAUREGUI,76214
1303,EX-HDA DE JURIQUILLA,SRJ,SANTA ROSA JAUREGUI,
1304,FRACCIONAMIENTO ALTAVISTA JURIQUILLA,SRJ,SANTA ROSA JAUREGUI,
1305,FRACCIONAMIENTO ALTOS JURIQUILLA                  ,SRJ,SANTA ROSA JAUREGUI,
1306,FRACCIONAMIENTO COLINAS DE JURIQUILLA             ,SRJ,SANTA ROSA JAUREGUI,
1307,FRACCIONAMIENTO JURICA ACUEDUCTO,SRJ,SANTA ROSA JAUREGUI,
1308,FRACCIONAMIENTO JURICA SAN FRANCISCO,SRJ,SANTA ROSA JAUREGUI,
1309,FRACCIONAMIENTO LA CUADRILLA 1RA SECC.            ,SRJ,SANTA ROSA JAUREGUI,
1310,FRACCIONAMIENTO LA CUADRILLA 2A SECC.,SRJ,SANTA ROSA JAUREGUI,
1311,FRACCIONAMIENTO LOMAS DE JURIQUILLA               ,SRJ,SANTA ROSA JAUREGUI,
1312,FRACCIONAMIENTO REAL DE JURIQUILLA                ,SRJ,SANTA ROSA JAUREGUI,
1313,FRACCIONAMIENTO RESIDENCIAL CALETTO               ,SRJ,SANTA ROSA JAUREGUI,
1314,FRACCIONAMIENTO RESIDENCIAL JURIQUILLA SANTA FE,SRJ,SANTA ROSA JAUREGUI,
1315,GABRIEL LEYVA,SRJ,SANTA ROSA JAUREGUI,76220
1316,HACIENDA SANTA ROSA,SRJ,SANTA ROSA JAUREGUI,76220
1317,"HUIZACHADA, LA",SRJ,SANTA ROSA JAUREGUI,
1318,INDEPENDENCIA - SANTA ROSA JAUREGUI,SRJ,SANTA ROSA JAUREGUI,76220
1319,JOSE LUIS OLVERA,SRJ,SANTA ROSA JAUREGUI,
1320,JURICA  PUEBLO,SRJ,SANTA ROSA JAUREGUI,76100
1321,JURICA EL SALTO,SRJ,SANTA ROSA JAUREGUI,
1322,JURICA LA CANADA,SRJ,SANTA ROSA JAUREGUI,
1323,JURICA LA SOLANA,SRJ,SANTA ROSA JAUREGUI,
1324,JURICA MISIONES,SRJ,SANTA ROSA JAUREGUI,
1325,JURICA RANCHO LARGO,SRJ,SANTA ROSA JAUREGUI,
1326,JURICA REAL CONVENTO                              ,SRJ,SANTA ROSA JAUREGUI,
1327,JURICA TOLIMAN,SRJ,SANTA ROSA JAUREGUI,
1328,JURIQUILLA,SRJ,SANTA ROSA JAUREGUI,76230
1329,JURIQUILLA LA CONDESA,SRJ,SANTA ROSA JAUREGUI,
1330,JURIQUILLA PUEBLO,SRJ,SANTA ROSA JAUREGUI,76220
1331,JURIQUILLA SAN ISIDRI I,SRJ,SANTA ROSA JAUREGUI,
1332,JURIQUILLA SAN ISIDRO I,SRJ,SANTA ROSA JAUREGUI,
1333,JURIQUILLA SAN ISIDRO II,SRJ,SANTA ROSA JAUREGUI,
1334,LA BARRETA,SRJ,SANTA ROSA JAUREGUI,76221
1335,LA CANTERA,SRJ,SANTA ROSA JAUREGUI,76220
1336,LA CARBONERA,SRJ,SANTA ROSA JAUREGUI,76221
1337,LA COLMENA,SRJ,SANTA ROSA JAUREGUI,76220
1338,LA CRUZ (SANTA ROSA JAUREGUI),SRJ,SANTA ROSA JAUREGUI,76220
1339,LA ERMITA DE MONTENEGRO,SRJ,SANTA ROSA JAUREGUI,
1340,LA ESTACADA,SRJ,SANTA ROSA JAUREGUI,76210
1341,LA GOTERA,SRJ,SANTA ROSA JAUREGUI,76210
1342,LA JOYA - SANTA ROSA JAUREGUI,SRJ,SANTA ROSA JAUREGUI,76220
1343,LA LAGRIMA,SRJ,SANTA ROSA JAUREGUI,76220
1344,LA LOMA,SRJ,SANTA ROSA JAUREGUI,
1345,LA LUZ,SRJ,SANTA ROSA JAUREGUI,76212
1346,LA LUZ II,SRJ,SANTA ROSA JAUREGUI,
1347,LA MONJA,SRJ,SANTA ROSA JAUREGUI,76219
1348,LA PALMA (STA ROSA JAUREGUI),SRJ,SANTA ROSA JAUREGUI,76220
1349,LA PARED,SRJ,SANTA ROSA JAUREGUI,76220
1350,LA PRESA DE SANTA CATARINA,SRJ,SANTA ROSA JAUREGUI,76220
1351,LA PUERTA DE SANTIAGUILLO,SRJ,SANTA ROSA JAUREGUI,76220
1352,LA RICA JURIQUILLA                                ,SRJ,SANTA ROSA JAUREGUI,
1353,LA RICA JURIQUILLA                                ,SRJ,SANTA ROSA JAUREGUI,
1354,LA SIERRITA I,SRJ,SANTA ROSA JAUREGUI,
1355,LA SIERRITA II,SRJ,SANTA ROSA JAUREGUI,
1356,LA SOLANA (TROJES),SRJ,SANTA ROSA JAUREGUI,76220
1357,LA SOLANA I,SRJ,SANTA ROSA JAUREGUI,
1358,LA SOLANA II,SRJ,SANTA ROSA JAUREGUI,
1359,LA SOLANA III,SRJ,SANTA ROSA JAUREGUI,
1360,LA SOLANA SAN JUAN,SRJ,SANTA ROSA JAUREGUI,76220
1361,LA VERSOLILLA,SRJ,SANTA ROSA JAUREGUI,76220
1362,LAGO DE JURIQUILLA                                ,SRJ,SANTA ROSA JAUREGUI,
1363,LAS FLORES,SRJ,SANTA ROSA JAUREGUI,76137
1364,LAS LAJITAS,SRJ,SANTA ROSA JAUREGUI,76220
1365,LAS ROSAS - SANTA ROSA JAUREGUI,SRJ,SANTA ROSA JAUREGUI,76220
1366,LAS ROSAS II,SRJ,SANTA ROSA JAUREGUI,
1367,LAS TROJES,SRJ,SANTA ROSA JAUREGUI,
1368,LINDAVISTA                                        ,SRJ,SANTA ROSA JAUREGUI,
1369,LINDAVISTA (STA ROSA JAUREGUI),SRJ,SANTA ROSA JAUREGUI,76125
1370,LLANO DE LA ROCHERA,SRJ,SANTA ROSA JAUREGUI,76224
1371,LOMA DEL CHINO,SRJ,SANTA ROSA JAUREGUI,76218
1372,LOMAS DEL PARQUE,SRJ,SANTA ROSA JAUREGUI,76220
1373,LOMAS DEL PEDREGAL,SRJ,SANTA ROSA JAUREGUI,76220
1374,LOS ANGELES - SANTA ROSA JAUREGUI,SRJ,SANTA ROSA JAUREGUI,76220
1375,LOS ARQUITOS,SRJ,SANTA ROSA JAUREGUI,76220
1376,MANANTIAL DE LA ESTACADA                          ,SRJ,SANTA ROSA JAUREGUI,
1377,MARIPOSAS,SRJ,SANTA ROSA JAUREGUI,76233
1378,MICROINDUSTRIAL SANTA ROSA,SRJ,SANTA ROSA JAUREGUI,
1379,MONTENEGRO,SRJ,SANTA ROSA JAUREGUI,76220
1380,NUEVA SANTA ROSA,SRJ,SANTA ROSA JAUREGUI,76220
1381,NUEVO AMANECER,SRJ,SANTA ROSA JAUREGUI,76220
1382,NUEVO JURIQUILLA,SRJ,SANTA ROSA JAUREGUI,
1383,NUEVO SANTA ROSA,SRJ,SANTA ROSA JAUREGUI,76220
1384,NVO. JURIQUILLA,SRJ,SANTA ROSA JAUREGUI,76230
1385,OJO DE AGUA,SRJ,SANTA ROSA JAUREGUI,76211
1386,PALO ALTO,SRJ,SANTA ROSA JAUREGUI,76213
1387,PARQUE SAN ISIDRO                                 ,SRJ,SANTA ROSA JAUREGUI,
1388,PEDREGAL DE LA RICA,SRJ,SANTA ROSA JAUREGUI,
1389,PIE DE GALLO,SRJ,SANTA ROSA JAUREGUI,76224
1390,PILETAS,SRJ,SANTA ROSA JAUREGUI,76220
1391,PINTILLO,SRJ,SANTA ROSA JAUREGUI,76223
1392,PINTO,SRJ,SANTA ROSA JAUREGUI,76223
1393,POPOCATEPETL,SRJ,SANTA ROSA JAUREGUI,76220
1394,PRESA DE BECERRA,SRJ,SANTA ROSA JAUREGUI,76216
1395,PRESA DE SAN ANTONIO,SRJ,SANTA ROSA JAUREGUI,
1396,PRESITA DE SAN ANTONIO,SRJ,SANTA ROSA JAUREGUI,76220
1397,PRIVADA DE LOS PORTONES,SRJ,SANTA ROSA JAUREGUI,
1398,PRIVADA JURIQUILLA,SRJ,SANTA ROSA JAUREGUI,76230
1399,PROVINCIA JURIQUILLA,SRJ,SANTA ROSA JAUREGUI,76230
1400,PUERTA DE SANTIAGUILLO,SRJ,SANTA ROSA JAUREGUI,76220
1401,PUERTO DE AGUIRRE,SRJ,SANTA ROSA JAUREGUI,
1402,PUNTA JURIQUILLA,SRJ,SANTA ROSA JAUREGUI,
1403,RANCHO GUADALUPE(LA LAGRIMA)                      ,SRJ,SANTA ROSA JAUREGUI,
1404,RANCHO LA PROVIDENCIA,SRJ,SANTA ROSA JAUREGUI,
1405,RANCHO LARGO,SRJ,SANTA ROSA JAUREGUI,76220
1406,REAL MONTENEGRO                                   ,SRJ,SANTA ROSA JAUREGUI,
1407,RINCON DE OJO DE AGUA,SRJ,SANTA ROSA JAUREGUI,76220
1408,RINCONADA SANTA ROSA                              ,SRJ,SANTA ROSA JAUREGUI,
1409,RIVERA MEXICANA,SRJ,SANTA ROSA JAUREGUI,
1410,SALINAS,SRJ,SANTA ROSA JAUREGUI,
1411,SALTO-JURIQUILLA QUERETARO EL,SRJ,SANTA ROSA JAUREGUI,
1412,SAN ANTONIO DE TROJES,SRJ,SANTA ROSA JAUREGUI,
1413,SAN FRANCISCO,SRJ,SANTA ROSA JAUREGUI,76058
1414,SAN FRANCISCO JURIQUILLA,SRJ,SANTA ROSA JAUREGUI,
1415,SAN ISIDRO BUENAVISTA,SRJ,SANTA ROSA JAUREGUI,76223
1416,SAN ISIDRO EL ALTO,SRJ,SANTA ROSA JAUREGUI,76230
1417,SAN ISIDRO EL VIEJO,SRJ,SANTA ROSA JAUREGUI,76220
1418,SAN JOSE BUENAVISTA,SRJ,SANTA ROSA JAUREGUI,76226
1419,SAN MIGUELITO,SRJ,SANTA ROSA JAUREGUI,76220
1420,SANTA CATARINA (SANTA ROSA JAUREGUI),SRJ,SANTA ROSA JAUREGUI,76223
1421,SANTA LUCIA,SRJ,SANTA ROSA JAUREGUI,76220
1422,SANTA ROSA JAUREGUI,SRJ,SANTA ROSA JAUREGUI,76220
1423,SANTO NINO DE PRAGA,SRJ,SANTA ROSA JAUREGUI,76234
1424,UNIVERSIDAD - SANTA ROSA JAUREGUI,SRJ,SANTA ROSA JAUREGUI,76028
1425,UNIVERSIDADES                                     ,SRJ,SANTA ROSA JAUREGUI,
1426,VALLE DORADO,SRJ,SANTA ROSA JAUREGUI,76220
1427,"VALLE DORADO I, II, III",SRJ,SANTA ROSA JAUREGUI,76220
1428,VILLAS DE COREA,SRJ,SANTA ROSA JAUREGUI,
1429,VILLAS DE SANTA ROSA                              ,SRJ,SANTA ROSA JAUREGUI,
1430,VILLAS DEL MESON - JURIQUILLA,SRJ,SANTA ROSA JAUREGUI,76226
